"product_name","total_reviews","verified_reviews","verified_rev_pct","avg_rating","total_helpful_count","avg_helpful_count","latest_date","earliest_date","review_span_days","avg_review_length","avg_polarity","avg_subjectivity","positive_rev_pct","negative_rev_pct","neutral_rev_pct"
"JBL Charge 5","114","114","1.00000000000000000000","4.8947368421052632","228","2.0000000000000000","2025-04-18","2023-12-15",490,"323","0.356141774888746","0.518455697950353","81.579","0.000","18.421"
"Sony ULT Field","103","0","0.00000000000000000000","4.6601941747572816","0","0.00000000000000000000","2024-08-07","2024-05-04",95,"634","0.281717300191125","0.518587229241589","82.524","1.942","15.534"
"Marshall Emberton II","104","104","1.00000000000000000000","4.7403846153846154","0","0.00000000000000000000","2024-08-07","2022-10-01",676,"353","0.303583140248807","0.491413251840997","78.846","0.000","21.154"
"Bose Soundlink Flex","100","100","1.00000000000000000000","4.8400000000000000","100","1.00000000000000000000","2024-08-06","2024-05-04",94,"468","0.297213052647897","0.556245721608895","88.000","1.000","11.000"
"Beats Pill","55","0","0.00000000000000000000","4.5090909090909091","0","0.00000000000000000000","2024-08-06","2024-06-28",39,"480","0.307639438667678","0.569060241416463","85.455","1.818","12.727"
